"FOURNISSEUR","RÉPARTITION","SERVICE","DIRECTION","NO DE DOSSIER","OBJET","NO DÉCISION","DATE SIGNATURE","MONTANT"
"CASSIDIAN COMMUNICATIONS CORP.","19,9 MM$ 100% AGGLO. 22,6MM$ DÉPENSES MIXTES D'ADMINISTRATION GÉNÉRALE. 52.7% AGGLO EN 2012           ","SERVICE DES TECHNOLOGIES DE L’INFORMATION","DIRECTION","1125873001","ACCORDER UN CONTRAT À CASSIDIAN COMMUNICATIONS CORP., POUR L’ACQUISITION, L’INSTALLATION, LA GESTION ET LA MAINTENANCE D’UN SYSTÈME ÉVOLUÉ DE RADIOCOMMUNICATION DE L’AGGLOMÉRATION DE MONTRÉAL (SÉRAM), POUR UNE PÉRIODE DE 15 ANS, POUR UNE SOMME MAXIMALE DE 42 547 281,73$ TAXES INCLUSES - APPEL D'OFFRES PUBLIC (11-11630) - (2 SOUMISSIONNAIRES).","CG12 0208",2012-08-28,"42547282"
"TATA COMMUNICATIONS (CANADA) ULC","54% AGGLO. 46% VILLE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1124565004","APPROUVER LE PROJET DE LA 2E MODIFICATION DU SOUS-BAIL PAR LEQUEL LA VILLE SOUS-LOUE DE TATA COMMUNICATIONS (CANADA) ULC, DES LOCAUX SITUÉS AU REZ-DE-CHAUSSÉE DE L'IMMEUBLE SIS AU 1555, RUE CARRIE-DERICK (8170) À MONTRÉAL, UTILISÉS PAR LE SERVICE DE L'EAU. LE TERME DU SOUS-BAIL EST DE 8 ANS ET 2 MOIS, SOIT DU 1ER NOVEMBRE 2012 AU 31 DÉCEMBRE 2020. LA DÉPENSE TOTALE EST DE 2 208 246,28 $.","CG12 0216",2012-10-17,"2208246"
"ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC.","100% AGGLO","SERVICE DE POLICE DE MONTRÉAL","DIRECTION DES OPÉRATIONS","1123997003","CONCLURE AVEC LA FIRME ""ÉQUIPEMENT DE SÉCURITÉ UNIVERSEL INC."", PLUS BAS SOUMISSIONNAIRE CONFORME, UNE ENTENTE-CADRE D'UNE DURÉE DE 36 MOIS, POUR LA FOURNITURE DE BOTTES DE COMBAT 3 SAISONS POUR LE SPVM, SUITE À L'APPEL D'OFFRES PUBLIC #12-11995 POUR UN MONTANT DE 408 736,12 $, TAXES INCLUSES - 7 SOUMISSIONNAIRES","CG12 0250",2012-08-28,"408736"
"DESSAU INC.","100% AGGLO","SERVICE DE L’EAU","DIRECTION DE L'EAU POTABLE","1120923002","AUTORISER UNE DÉPENSE ADDITIONNELLE DE 2 551 764 $, TAXES INCLUSES, POUR ASSURER LA POURSUITE DU PROJET DE MISE AUX NORMES DES USINES DE PRODUCTION D'EAU POTABLE ATWATER, DESBAILLETS, PIERREFONDS / APPROUVER UN PROJET D'ADDENDA MODIFIANT LA CONVENTION DE SERVICES PROFESSIONNELS INTERVENUE AVEC DESSAU INC. MAJORANT AINSI LE MONTANT INITIAL DU CONTRAT DE 8 442 079,28 $ À 10 993 843,28 $.","CG12 0251",2012-08-27,"2551764"
"ÉQUIPARC MANUFACTURIER D'ÉQUIPEMENTS DE PARCS INC.","100% AGGLO","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","DIRECTION DU DÉVELOPPEMENT ÉCONOMIQUE ET URBAIN","1123820008","ACCORDER UN CONTRAT À ÉQUIPARC MANUFACTURIER D'ÉQUIPEMENTS DE PARCS INC. POUR LA FABRICATION ET LA LIVRAISON DE PANIERS À REBUTS DEVANT ÊTRE INSTALLÉS SUR LE DOMAINE PUBLIC DANS LE SECTEUR PLACE DES ARTS DU QUARTIER DES SPECTACLES. DÉPENSE TOTALE DE 350 536,71 $, TAXES INCLUSES (CONTRAT 337 054,53 $ + INCIDENCES : 13 482,18 $) - APPEL D'OFFRES PUBLIC  ""QDS-1234-PANIERS-REBUTS"", 3 SOUMISSIONS DÉPOSÉES, 1 CONFORME ","CG12 0256",2012-08-27,"350537"
"LES ENTREPRISES CATCAN INC.","100% AGGLO","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DIRECTION DES INFRASTRUCTURES","1120266033","ACCORDER UN CONTRAT À LES ENTREPRISES CATCAN INC. POUR LA RECONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE WELLINGTON, ENTRE LES RUES MURRAY ET PEEL AINSI QUE LA CONSTRUCTION D'UNE CONDUITE D'EAU SECONDAIRE DANS LA RUE WELLINGTON, ENTRE LES RUES PEEL ET SHANNON. ARRONDISSEMENT: LE SUD-OUEST. - DÉPENSE TOTALE DE 766 318,49 $, TAXES INCLUSES ( CONTRAT: 691 818,49 $ + INCIDENCES:  74 500,00 $ ) - APPEL D'OFFRES PUBLIC 100401 - 11 SOUMISSIONNAIRES.","CG12 0257",2012-08-27,"691818"
"CONSTRUCTION G-NESIS INC.","8.06% AGGLO, 91.94% VILLE","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DIRECTION DES INFRASTRUCTURES","1120266047","ACCORDER UN CONTRAT À CONSTRUCTION G-NESIS INC. POUR LA CONSTRUCTION D’UN ÉGOUT PLUVIAL, D’UN ÉGOUT SANITAIRE ET D’UNE CONDUITE D’EAU SECONDAIRE DANS LE PROLONGEMENT DU BOULEVARD MAURICE-DUPLESSIS, DU BOULEVARD SAINT-JEAN-BAPTISTE À LA RUE OLIVIER-LEJEUNE.  ─ ARRONDISSEMENT : RIVIÈRE-DES-PRAIRIES  ─ POINTE-AUX-TREMBLES. DÉPENSE TOTALE DE 4 162 108,44 $, TAXES INCLUSES ( CONTRAT: 3 839 388,91$ + INCIDENCES 322 719,53 $ ) - APPEL D'OFFRES PUBLIC 233501 - 8 SOUMISSIONNAIRES.","CG12 0258",2012-08-27,"3839389"
"TERRAMEX AMÉNAGEMENT URBAIN INC.","100% AGGLO","SERVICE DE LA MISE EN VALEUR DU TERRITOIRE","DIRECTION DU DÉVELOPPEMENT ÉCONOMIQUE ET URBAIN","1123820009","ACCORDER UN CONTRAT À TERRAMEX AMÉNAGEMENT URBAIN INC. POUR LA RECONSTRUCTION COMPLÈTE DES STRUCTURES DE LA CHAUSSÉE ET DES TROTTOIRS DE LA RUE JEANNE-MANCE ENTRE LE BOULEVARD RENÉ-LEVESQUE ET LA RUE SAINTE-CATHERINE (PHASE 1C DU QUARTIER DES SPECTACLES); L’AMÉNAGEMENT DE CHEMINS POUR PIÉTONS EN GRANIT DANS LE « PARTERRE » (PHASE 2A DU QUARTIER DES SPECTACLES) ET L’INSTALLATION DES PANIERS À REBUTS DANS LE SECTEUR PLACE DES ARTS DU QUARTIER DES SPECTACLES . DÉPENSE TOTALE DE 3 367 908,53 $, TAXES INCLUSES (CONTRAT 3 238 373,59 $ + INCIDENCES : 129 534,94 $) - APPEL D'OFFRES PUBLIC - QDS-1C-2A-EG-FINITION, 2 SOUMISSIONS DÉPOSÉES, 2 CONFORMES","CG12 0259",2012-08-27,"3238374"
"AQUARÉHAB EAU POTABLE INC.","100% AGGLO","SERVICE DES INFRASTRUCTURES, DU TRANSPORT ET DE L'ENVIRONNEMENT","DIRECTION DES INFRASTRUCTURES","1124822002","ACCORDER UN CONTRAT À AQUARÉHAB EAU POTABLE INC. POUR LA RÉHABILITATION PAR CHEMISAGE D'UNE CONDUITE D'EAU DE 300 MM DE DIAMÈTRES PASSANT SOUS L'AUTOROUTE 40, À LA HAUTEUR DE MONTROSE. VILLE DE KIRKLAND. DÉPENSE TOTALE DE  474 594 ,20 $, TAXES INCLUSES ( CONTRAT: 394 594,20 $ + INCIDENCES: 80 000 $ ) - APPEL D'OFFRES PUBLIC 252303 - 1 SOUMISSIONNAIRE.","CG12 0260",2012-08-27,"394594"
"MDA ARCHITECTES, BVA ET ASSOCIÉS, GÉNIVAR, LES PROJETS SD INC. ET YOCKELL ASSOCIÉS","56.2% AGGLO, 43.8% VILLE","SERVICE DE CONCERTATION DES ARRONDISSEMENTS ET DES RESSOURCES MATÉRIELLES","DIRECTION STRATÉGIES ET TRANSACTIONS IMMOBILIÈRES","1120444004","ACCORDER UN CONTRAT DE SERVICES PROFESSIONNELS À MDA ARCHITECTES, BVA ET ASSOCIÉS, GÉNIVAR, LES PROJETS SD INC. ET YOCKELL ASSOCIÉS POUR LES SERVICES PROFESSIONNELS (ARCHITECTURE, INGÉNIERIE, CHARGÉ DE PROJET LEED, AGENT DE MISE EN SERVICE ET MODÉLISATEUR ÉNERGÉTIQUE) POUR LE LOT 3 - RÉNOVATION MAJEURE - DU 2580 SAINT-JOSEPH POUR UNE SOMME MAXIMALE DE 792 815,74 $, TAXES INCLUSES - APPEL D'OFFRES PUBLIC  AO12-11930 - 2 SOUMISSIONNAIRES, 1 CONFORME / APPROUVER UN PROJET DE CONVENTION À CETTE FIN.","CG12 0262",2012-08-27,"792816"
