REGION_ADMINISTRATIVE,ETABLISSEMENT,ETABLISSEMENT_PARTENAIRE,ANNEE_FINANCIERE,PROGRAMME,VOLET,RESPONSABLE_DU_PROJET,TITRE,RESEAU,MONTANT_MES,MONTANT_MSSS,MONTANT_MEI,MONTANT_TOTAL_QUEBEC,COUT_TOTAL,SECTEUR,DOMAINE_STRATEGIQUE,DOMAINE_PRIMAIRE,DISCIPLINE_PRIMAIRE
"Capitale-Nationale","Université Laval","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Clément M. GOSSELIN","Laboratoire de recherche en coopération physique homme / robot","MEES",800000,,,800000,2000000,"Sciences naturelles et génie","Micro-électronique","Santé","Robotique"
"Estrie","Université de Sherbrooke","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Michel HUNEAULT","Caractérisation rhéologique des bioplastiques","MEES",100000,,,100000,250000,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Ressources renouvelables: production et technologies","Génie chimique"
"Estrie","Université de Sherbrooke","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Stéphane MOREAU","Infrastructure pour l'analyse tomographique non intrusive avancée de flux complexes","MEES",320000,,,320000,830874,"Sciences naturelles et génie","Transports terrestres (auto, autobus)","Bruit et vibrations","Mécanique des fluides"
"Montréal","Université McGill","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur établi","Jake BARRALET","Outil pour l'innovation en matière de matériaux biocompatibles à effraction minimale","MEES,MSSS",140215,259785,,400000,1000000,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches médicales, traitement hospitalier, chirurgie","Génie biomédical"
"Montréal","École Polytechnique de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur junior - recrutement","Guchuan ZHU","Laboratoire pour le contrôle avancé des microsystèmes","MEES",184406,,,184406,478143,"Sciences naturelles et génie","Micro-électronique","Industries électroniques et connexes","Chimie analytique"
"Montréal","École Polytechnique de Montréal","","2010-2011","Fonds des leaders John-R.-Evans","Indépendant - chercheur senior - recrutement","Abdellah AJJI","Films multicouches de pointe pour des emballages flexibles de haute performance","MEES",200000,,,200000,513316,"Sciences naturelles et génie","Matériaux de pointe (métaux légers)","Production et technologie industrielles","Génie chimique"
"Estrie","Université Bishop's","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Heather LAWFORD","Chaire de recherche du Canada en santé et bien-être","MEES",214865,,,214865,537114,"Sciences sociales et humaines","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Autre recherche","Psychologie en SHS"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Suzanne LAJOIE","Chaire de recherche du Canada sur les technologies de métacognition et d'apprentissage évolué","MEES",178775,,,178775,446938,"Sciences sociales et humaines","TIC (télécommunications, multimédia, logiciels, services informatiques)","Enseignement, formation, perfectionnement et recyclage","Éducation"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","John BREITNER","Chaire de recherche sur la prévention de la démence et de la maladie d'Alzheimer","MSSS",,348078,,348078,870195,"Santé","Sciences de la vie (recherche clinique, santé humaine, services de santé)","Recherches à caractère général et autres recherches médicales","Sc. de la vie liées à santé publique + maladies humaines"
"Montréal","Université McGill","","2011-2012","Fonds des leaders John-R.-Evans","Partenariat avec un organisme fédéral","Colin CHAPMAN","Chaire de recherche du Canada sur la conservation et l'écologie des primates","MEES",109035,,,109035,272586,"Sciences naturelles et génie","Ressources naturelles (forêt, faune, mines, eau)","Espèces vivantes et biotopes","Évolution et écologie"
